name,taxon_id,family,count
Osornodella gabrielae,1046378,983369,1
Fannia canicularis,121213,121214,70
Neofedrizzia tragardhi,1471512,1305510,1
Fergusonina metrosiderosi,389616,373023,2
Anacharis zealandica,153969,203209,66
Kukulcania hibernalis,122357,49331,2716
Fissiphallius martensi,1147132,535015,1
Metcalfa pruinosa,126209,52074,9349
Apterygida albipennis,1416568,49528,524
Camponotus pennsylvanicus,129902,47336,15085
Franklinothrips vespiformis,270746,1377482,16
Oodedesmus variabilis,1455186,154956,1
Lycorma delicatula,324726,54944,23199
Homadaula anisocentra,416957,417181,251
Galathea squamifera,342260,117667,294
Galene bispinosa,1223947,471691,11
Galeodes araneoides,739734,484269,47
Harpagomantis tricolor,569984,569983,182
Drassodella aurostriata,887879,416717,2
Gammaracanthus loricatus,1251208,983370,1
Gammarellus angulosus,552295,552296,14
Gammarus lacustris,220287,59806,235
Anchigarypus californicus,1506017,245011,42
Gasteruption jaculator,472957,244996,65
Cardisoma guanhumi,54952,51074,2759
Parathelphusa convexa,108692,85783,105
Gelastocoris oculatus,53497,53499,1847
Chionodes mediofuscella,216738,55519,1129
Geocoris erythrocephalus,709890,146952,281
Geogarypus longidigitatus,738212,432741,2
Campaea perlata,81681,49530,12552
Henia vesuviana,68721,133161,162
Georissus crenulatus,624443,456677,1
Anoplotrupes stercorosus,125655,60539,15378
Aquarius remigis,59651,59653,7526
Ovalipes ocellatus,52521,459556,1777
Eulasia pareyssei,564215,57465,177
Glaresis beckeri,1060922,178189,2
Dalquestia formosa,296823,1143900,263
Glomeris marginata,56078,56080,1902
Glomeridella minima,1395350,982636,1
Glossina morsitans,342840,67371,2
Agapetus fuscipes,321932,172831,1
Diploschizia impigritella,218536,173889,713
Glyphocrangon longirostris,459576,245516,3
Glyptograpsus impressus,260439,209089,29
Herpyllus ecclesiasticus,130880,50168,5361
Paragnathia formica,1071258,48146,26
Gnathophausia zoea,260623,983448,4
Goera pilosa,482049,148208,113
Dromogomphus spinosus,99609,51128,3755
Goneplax rhomboides,545711,245512,41
