name,taxon_id,family,count
Acylophorus wagenschieberi,1050633,47951,2
,,52381,0
,,52381,0
,,52381,0
,,52381,0
,,52381,0
Acyrthosiphon lactucae,454174,52381,32
,,52381,0
,,52381,0
,,52381,0
,,52381,0
,,52381,0
,,52381,0
,,52381,0
Acyrthosiphon pisum,132882,52381,28
,,52381,0
Adactylotis contaminaria,519068,49530,40
Adactylotis gesticularia,325510,49530,207
Adaina microdactyla,358029,47404,50
Adalbertia castiliaria,711189,49530,78
Adalia bipunctata,52506,48486,10142
Adalia conglomerata,503238,48486,18
,,53237,0
,,53237,0
,,53237,0
Adarrus multinotatus,765003,53237,2
,,53237,0
Adela albicinctella,481666,51270,4
Adela australis,497791,51270,761
Adela croesella,355850,51270,307
Adela cuprella,522504,51270,65
Adela mazzolella,894303,51270,1
Adela paludicolella,497029,51270,70
Adela reaumurella,56203,51270,2618
Adela violella,551533,51270,207
Adelges laricis,430129,61515,32
Adelges piceae,199321,61515,14
Adelges tardus,987108,61515,5
,,63187,0
,,63187,0
,,47199,0
,,47199,0
,,47199,0
,,47199,0
,,47199,0
,,47199,0
,,47199,0
,,47199,0
,,53505,0
Adelphocoris lineolatus,84508,53505,4179
Adelphocoris quadripunctatus,532814,53505,798
,,53505,0
Adelphocoris reichelii,552332,53505,14
Adelphocoris seticornis,532817,53505,777
Adelphocoris ticinensis,544107,53505,16
Adelphocoris vandalicus,326883,53505,273
,,56080,0
,,56080,0
Aderus populneus,212506,172767,33
Adexius scrobipennis,1025300,48736,3
Adia cinerella,779747,49996,4
,,63187,0
,,63187,0
,,85862,0
,,85862,0
,,48093,0
,,51953,0
,,51953,0
,,51953,0
Admontia maculisquama,321719,51953,1
,,51953,0
Admontia seria,321720,51953,1
Adomerus biguttatus,704729,57843,77
Adomerus fuscipennis,1239121,57843,4
Adomerus maculipes,1239122,57843,21
Adoxomyia dahlii,469227,70127,4
Adoxophyes orana,472752,47155,214
Adrastus axillaris,1085758,53248,3
Adrastus lacertosus,1085760,53248,4
,,53248,0
Adrastus montanus,1085762,53248,1
Adrastus pallens,547646,53248,48
Adrastus rachifer,547645,53248,9
,,52028,0
,,52028,0
Adscita geryon,354779,52028,15
Adscita statices,333243,52028,923
,,52134,0
Aedes annulipes,1112057,52134,7
Aedes berlandi,1151205,52134,4
Aedes cantans,1112065,52134,6
,,52134,0
Aedes caspius,1112066,52134,124
,,52134,0
,,52134,0
Aedes cinereus,212521,52134,31
,,52134,0
,,52134,0
Aedes communis,1112069,52134,8
Aedes detritus,1244712,52134,3
,,52134,0
,,52134,0
Aedes dorsalis,155381,52134,51
,,52134,0
,,52134,0
Aedes flavescens,1112082,52134,18
,,52134,0
Aedes geniculatus,625258,52134,112
,,52134,0
,,52134,0
Aedes pulcritarsis,1112114,52134,3
Aedes pullatus,212536,52134,1
,,52134,0
Aedes punctor,1112115,52134,9
,,52134,0
Aedes rusticus,639244,52134,14
Aedes sticticus,212542,52134,22
Aedes vexans,155387,52134,1022
Aedes vittatus,647385,52134,3
Aedia funesta,550237,48670,567
Aedia leucomelas,339567,48670,1334
Aegialia arenaria,130422,48201,56
Aegomorphus clavipes,325932,47961,413
,,47961,0
Aegosoma scabricorne,468838,47961,874
Aeletes atomarius,1047814,68869,1
Aelia klugii,494737,47742,30
Aelia notata,899483,47742,7
Aelia rostrata,543705,47742,312
Aellopus atratus,326886,141732,151
Aelurillus luctuosus,466943,48139,61
Aelurillus v-insignitus,130287,48139,819
,,55351,0
,,53248,0
Aeolothrips albicinctus,882602,245155,1
,,245155,0
Aeolothrips collaris,548683,245155,4
,,245155,0
,,245155,0
Aeolothrips fasciatus,385111,245155,3
,,245155,0
,,245155,0
,,245155,0
,,245155,0
,,245155,0
,,245155,0
,,245155,0
Aepophilus bonnairei,884992,135298,1
,,49567,0
,,49567,0
,,55584,0
Aeropedellus variegatus,531195,47649,24
Aesalus scarabaeoides,704343,49083,17
Aeshna affinis,93426,51469,1039
Aeshna caerulea,93427,51469,278
Aeshna cyanea,52519,51469,8406
Aeshna grandis,82106,51469,2577
,,51469,0
Aeshna juncea,93434,51469,2392
Aeshna mixta,93437,51469,4916
Aeshna subarctica,93446,51469,511
,,982244,0
Aethalura punctulata,470909,49530,641
,,47199,0
,,47199,0
,,47199,0
,,47199,0
,,47199,0
,,47199,0
,,47199,0
,,47199,0
,,47199,0
,,47155,0
Aethes beatricella,527057,47155,14
Aethes bilbaensis,467435,47155,14
Aethes cnicana,205345,47155,46
Aethes deaurana,1323583,47155,1
Aethes decimana,876064,47155,4
Aethes deutschiana,453162,47155,17
Aethes dilucidana,527058,47155,1
Aethes fennicana,987117,47155,1
Aethes flagellana,876065,47155,5
Aethes francillana,460516,47155,8
Aethes hartmanniana,527060,47155,250
Aethes kindermanniana,484285,47155,6
Aethes languidana,628293,47155,1
Aethes margaritana,527061,47155,58
Aethes margarotana,527062,47155,10
Aethes moribundana,538988,47155,6
,,47155,0
Aethes piercei,527063,47155,1
Aethes rubigana,324334,47155,57
,,47155,0
Aethes rutilana,212578,47155,48
Aethes sanguinana,876068,47155,1
Aethes smeathmanniana,212579,47155,284
Aethes tesserana,447975,47155,193
,,47155,0
Aethes williana,527064,47155,25
,,83891,0
Aethus pilosus,546908,57843,19
Afriberina tenietaria,538475,49530,13
Afrogethes planiusculus,1084983,126791,1
,,126791,0
Agabiformius lentus,469842,122239,87
Agabus affinis,547677,57659,1
,,57659,0
Agabus bipustulatus,130423,57659,65
Agabus brunneus,864802,57659,2
,,57659,0
Agabus conspersus,901145,57659,4
Agabus didymus,547676,57659,16
Agabus guttatus,987120,57659,5
Agabus labiatus,547675,57659,1
,,57659,0
Agabus melanarius,987119,57659,1
Agabus nebulosus,547674,57659,43
Agabus paludosus,547673,57659,1
,,57659,0
Agabus sturmii,547305,57659,16
Agabus uliginosus,497181,57659,3
Agabus undulatus,624437,57659,14
Agabus unguicularis,547671,57659,2
Agalenatea redii,121779,47535,3066
Agallia brachyptera,911726,53237,3
Agallia consobrina,631178,53237,27
Agalmatium bilobum,466785,56579,71
Agalmatium flavescens,466487,56579,18
Agapanthia asphodeli,543352,47961,211
Agapanthia cardui,326397,47961,652
Agapanthia dahli,486499,47961,511
Agapanthia intermedia,346021,47961,121
Agapanthia irrorata,486500,47961,91
Agapanthia kirbyi,486501,47961,80
,,47961,0
Agapanthia suturalis,496445,47961,311
Agapanthia villosoviridescens,52438,47961,3509
Agapanthia violacea,476117,47961,62
Agapeta angelana,1323968,47155,2
Agapeta hamana,205754,47155,2176
,,47155,0
Agapeta zoegana,68353,47155,1276
,,172831,0
Agapetus fuscipes,321932,172831,1
,,172831,0
Agapetus ochripes,987124,172831,1
,,60571,0
,,47199,0
,,60571,0
,,60571,0
,,60571,0
,,60571,0
,,60571,0
Agathidium discoideum,987134,60571,1
,,60571,0
,,60571,0
,,60571,0
,,60571,0
Agathidium nigrinum,633524,60571,6
Agathidium nigripenne,495160,60571,18
,,60571,0
,,60571,0
,,60571,0
,,60571,0
Agathidium varians,869236,60571,2
Agathis anglica,1083298,63187,1
,,63187,0
,,63187,0
,,63187,0
Agathis malvacearum,556742,63187,14
,,63187,0
,,63187,0
,,63187,0
Agathomyia antennata,905445,336703,4
,,336703,0
,,336703,0
Agathomyia falleni,1200582,336703,4
,,336703,0
Agathomyia wankowiczii,892440,336703,35
,,336703,0
Agdistis adactyla,869644,47404,6
Agdistis bennetii,483675,47404,3
,,47404,0
,,47404,0
,,47404,0
,,47404,0
,,47404,0
Agdistis meridionalis,483674,47404,1
,,47404,0
,,47404,0
,,47404,0
,,47404,0
Agdistis tamaricis,553594,47404,26
Agelastica alni,210933,51146,9199
Agelena labyrinthica,130304,47345,2205
,,69778,0
,,69778,0
,,69778,0
Agenioideus apicalis,1165146,54028,6
Agenioideus ciliatus,1046339,54028,3
