name,taxon_id,ancestry,family
Aceria obiones,1187174,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria ononidis,937698,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria ononidistrifolii,1488459,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria onychia,1125294,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria oxalidis,1021436,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria paniculatae,1187183,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria passerinae,1187184,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria peucedani,1228882,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria pistaciae,1005573,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria platanoidea,782702,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria populi,842492,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria prima,1187185,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria pseudoplatani,349744,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria querci,916900,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria quercina,1047763,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria raynaudeti,1187186,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria rosalia,1429869,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria salicina,1115939,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria salviae,538925,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria sanguisorbae,1100928,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria scaber,1117259,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria silvicola,1363768,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria spartii,566676,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria squalida,1429552,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria stefanii,1005377,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria subtilis,1109306,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria tamaricis,1120862,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria tenella,897763,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria tenuis,900210,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria thomasi,84329,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria trifolii,886305,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria tristriata,776436,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria tuberculata,886321,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
