name,taxon_id,ancestry
Damaeidae,172485,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/1227488/172484
Daphniidae,85726,48460/1/47120/85493/60395/1134694/68305/774762
Darwinulidae,245953,48460/1/47120/85493/473792/68764/774780/85538/1068382/245952
Dascillidae,128710,48460/1/47120/372739/47158/184884/47208/71130/372854/128709
Delphacidae,123608,48460/1/47120/372739/47158/184884/47744/125816/372860/1473811
Dendrothripidae,1377491,48460/1/47120/372739/47158/184884/83201/372872/1377490
Depressariidae,423543,48460/1/47120/372739/47158/184884/47157/55518
Derbidae,132158,48460/1/47120/372739/47158/184884/47744/125816/372860/52073
Dermanyssidae,245182,48460/1/47120/245097/47119/52788/129762/52790/907177/936184/1270556/194694
Dermationidae,982233,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/152845/1466413/1466256
Dermestidae,81951,48460/1/47120/372739/47158/184884/47208/71130/372844/47496
Dermoglyphidae,245276,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/152845/1466413/1466256
Detonidae,339098,48460/1/47120/85493/473790/47187/774775/144114/48147/84718/343783/343798
Diadocidiidae,354856,48460/1/47120/372739/47158/184884/47822/154259/489328/493389
Diapheromeridae,47320,48460/1/47120/372739/47158/184884/47198/569714/569716
Diapriidae,203213,48460/1/47120/372739/47158/184884/47201/124417/981280/480797
Diaptomidae,85732,48460/1/47120/85493/473790/1091452/121643/774777/774778/85507
Diaspididae,48093,48460/1/47120/372739/47158/184884/47744/334037/60922
Diastatidae,541547,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/555548
Dicranolasmatidae,525956,48460/1/47120/245097/47119/47367/526560/354553
Dictynidae,84523,48460/1/47120/245097/47119/47118/120474/342614/367162
Dictyopharidae,53509,48460/1/47120/372739/47158/184884/47744/125816/372860/52073
Dicyrtomidae,55168,48460/1/47120/372739/243773/49470/152965/548119
Dilaridae,176873,48460/1/47120/372739/47158/184884/48763/483236
Diparidae,1426986,48460/1/47120/372739/47158/184884/47201/124417/981280/69750
Diplolepididae,1501094,48460/1/47120/372739/47158/184884/47201/124417/981280/55593
Diprionidae,49453,48460/1/47120/372739/47158/184884/47201/84643/49452
Dipsocoridae,343550,48460/1/47120/372739/47158/184884/47744/61267/372839/174254
Ditomyiidae,245527,48460/1/47120/372739/47158/184884/47822/154259/489328/493389
Dixidae,245356,48460/1/47120/372739/47158/184884/47822/154259/153429/513826
Dolichopodidae,68020,48460/1/47120/372739/47158/184884/47822/48091/372865/318504
Douglasiidae,178892,48460/1/47120/372739/47158/184884/47157/1427754
Drepanidae,84430,48460/1/47120/372739/47158/184884/47157/84429
Drosophilidae,67742,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/555548
Dryadaulidae,531706,48460/1/47120/372739/47158/184884/47157/61414
Dryinidae,203211,48460/1/47120/372739/47158/184884/47201/124417/326777/203212
Dryomyzidae,345446,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/70139
Dryopidae,178026,48460/1/47120/372739/47158/184884/47208/71130/372854/130839
Dysderidae,69200,48460/1/47120/245097/47119/47118/120474/367158/367170
Dytiscidae,57659,48460/1/47120/372739/47158/184884/47208/340471/574051
Echinophthiriidae,330603,48460/1/47120/372739/47158/184884/83187/372873/714496/152843/85502
Ecnomidae,83730,48460/1/47120/372739/47158/184884/62164/372846/62165
Ectinosomatidae,195073,48460/1/47120/85493/473790/1091452/121643/774777/774779/85521
Ectobiidae,461451,48460/1/47120/372739/47158/184884/81769/81770
Ectopsocidae,245131,48460/1/47120/372739/47158/184884/83187/144300/451715
Elachistidae,81988,48460/1/47120/372739/47158/184884/47157/55518
Elateridae,53248,48460/1/47120/372739/47158/184884/47208/71130/372854/47207
Elenchidae,372987,48460/1/47120/372739/47158/184884/83202/902761
Elipsocidae,141764,48460/1/47120/372739/47158/184884/83187/144300/451715
Elmidae,85753,48460/1/47120/372739/47158/184884/47208/71130/372854/130839
Embiidae,245142,48460/1/47120/372739/47158/184884/56834/1041771/1041775
Embolemidae,244995,48460/1/47120/372739/47158/184884/47201/124417/326777/203212
Empididae,49460,48460/1/47120/372739/47158/184884/47822/48091/372865/318504
Empusidae,51924,48460/1/47120/372739/47158/184884/48112/1097011/1097013/1097017
Encyrtidae,69778,48460/1/47120/372739/47158/184884/47201/124417/981280/69750
Endomychidae,173237,48460/1/47120/372739/47158/184884/47208/71130/372852/471714
Endromidae,124755,48460/1/47120/372739/47158/184884/47157/47214
Eniochthoniidae,567212,48460/1/47120/245097/47119/52788/129763/81508/332183/888610/245277
Entomobryidae,132310,48460/1/47120/372739/243773/49470/83224/132309
Eosentomidae,245392,48460/1/47120/372739/243773/83242/1397965
Epermeniidae,173638,48460/1/47120/372739/47158/184884/47157/173636
Ephemerellidae,48010,48460/1/47120/372739/47158/184884/48011/48013
Ephemeridae,48008,48460/1/47120/372739/47158/184884/48011/48012
Ephydridae,84670,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/555548
Epidermoptidae,329216,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/152845/1466413/1466256
Epipsocidae,245143,48460/1/47120/372739/47158/184884/83187/144300/480278
Erebidae,121850,48460/1/47120/372739/47158/184884/47157/47607
Eremiaphilidae,349368,48460/1/47120/372739/47158/184884/48112/1097011/1097013/1097030
Eresidae,62051,48460/1/47120/245097/47119/47118/120474/342614/367174
Ereynetidae,245271,48460/1/47120/245097/47119/52788/129763/83740/55597/635809/532010
Ergasilidae,339090,48460/1/47120/85493/473790/1091452/121643/774777/774779/85514/997010
Eriococcidae,48026,48460/1/47120/372739/47158/184884/47744/334037/60922
Eriocottidae,177611,48460/1/47120/372739/47158/184884/47157/61414
Eriocraniidae,173582,48460/1/47120/372739/47158/184884/47157/173581
Eriophyidae,55584,48460/1/47120/245097/47119/52788/129763/81508/635987/373225
Erotylidae,82103,48460/1/47120/372739/47158/184884/47208/71130/372852/48485
Erythracaridae,625770,48460/1/47120/245097/47119/52788/129763/83740/55597/635811/625766
Erythraeidae,121478,48460/1/47120/245097/47119/52788/129763/83740/490738/635761/504310
Eucharitidae,245001,48460/1/47120/372739/47158/184884/47201/124417/981280/69750
Eucinetidae,173492,48460/1/47120/372739/47158/184884/47208/71130/372854/47596
Eucnemidae,47886,48460/1/47120/372739/47158/184884/47208/71130/372854/47207
Eukoeneniidae,245034,48460/1/47120/245097/47119/129764/245047
Eulohmanniidae,982154,48460/1/47120/245097/47119/52788/129763/81508/332183/746595/1465938/982156
Eulophidae,85012,48460/1/47120/372739/47158/184884/47201/124417/981280/69750
Eunotidae,1426988,48460/1/47120/372739/47158/184884/47201/124417/981280/69750
Eupelmidae,176401,48460/1/47120/372739/47158/184884/47201/124417/981280/69750
Euphthiracaridae,245269,48460/1/47120/245097/47119/52788/129763/81508/332183/746595/1396469/245244
Eurycercidae,533837,48460/1/47120/85493/60395/1134694/68305/774762
Eurypauropodidae,373019,48460/1/47120/144128/83243/153129
Eurytomidae,69751,48460/1/47120/372739/47158/184884/47201/124417/981280/69750
Euscorpiidae,56545,48460/1/47120/245097/47119/48894/1323567/1323568/1323570/130035
Eustathiidae,918143,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/152845/1466413/1466262
Euteliidae,122126,48460/1/47120/372739/47158/184884/47157/47607
