name,taxon_id,family,count
Microvelia reticulata,886234,119047,38
Mikiola fagi,244644,55699,3415
Milichia speciosa,462166,329891,6
Millieria dolosalis,875806,981683,10
Minettia longipennis,356403,118991,355
Misumena vatia,55746,47866,23185
Moina brachiata,483836,209038,1
Molannodes tinctus,225198,176962,5
Mompha subbistrigella,320101,176953,122
Monodontomerus obscurus,962054,203199,15
Monopis crocicapitella,225223,124262,736
Mordellochroa abdominalis,496687,81969,226
Mutilla europaea,555495,48511,421
Mycetaea subterranea,225311,471717,36
Mycetaulus bipunctatus,371928,326644,12
Mycetophagus quadripustulatus,712159,85909,198
Mycterus curculioides,470347,176908,65
Myopsocus eatoni,425406,142220,25
Myrmecophilus acervorum,48612,50159,89
Myrmosa atra,127810,246226,42
Mystacides longicornis,326757,85862,1130
Nanogona polydesmoides,336978,50426,122
Neelus murinus,261683,203288,10
Nemasoma varicorne,337012,154928,9
Nemastoma bimaculatum,451367,245376,433
Nemesia simoni,786720,47369,3
Nemobius sylvestris,362296,84812,2189
Nemopoda nitidula,70137,70140,56
Nemoptera bipennis,343354,48759,343
Nemurella pictetii,460535,173242,6
Neobisium carcinoides,490815,85918,26
Neomolgus littoralis,120956,120955,89
Neonaphorura duboscqi,1010289,171561,2
Nepa cinerea,133020,119347,2076
Nephrocerus scutellatus,1028702,144038,3
Neriene radiata,225815,67599,2318
Nesticus cellulanus,225916,153826,110
Neureclipsis bimaculata,225935,154684,104
Neurotoma saltuum,734712,143249,195
Nigma walckenaeri,84521,84523,1574
Niphargus vandeli,1504781,85927,1
Noctua pronuba,81687,48670,31252
Nosodendron fasciculare,1045626,176662,8
Noterus clavicornis,547326,177769,17
Notonecta glauca,56554,56556,355
Notoxus monoceros,131885,85586,428
Nurscia albomaculata,557066,153568,136
Nyctia halterata,326632,52910,45
Ochlodes sylvanus,61781,47653,15630
Ochodaeus chrysomeloides,1086497,176640,11
Ochterus marginatus,469904,430400,13
Octotemnus glabriculus,546312,82343,19
Ocypus olens,53869,47951,3573
Odinia meijerei,1200550,329916,1
Odontocerum albicorne,416811,176700,188
Oecanthus pellucens,332307,1449512,1278
Oecobius navus,226250,47587,1336
Oedemera nobilis,61844,61845,9717
Oegoconia novimundi,321374,210585,439
Oithona similis,203469,171781,2
Olibrus bicolor,606942,132036,12
Oligoneuriella rhenana,570735,154638,9
Oligotricha striata,454883,172903,66
Olpium pallipes,917014,245012,4
Omalisus fontisbellaquei,548785,548786,126
Ommatoiulus sabulosus,205191,121483,2158
Oniscus asellus,48284,48291,13828
Onychogomphus forcipatus,132663,51128,3402
Oodera formosa,1076527,1426998,1
Oonops domesticus,416684,57647,15
Opetia nigra,625523,558003,5
Ophiodesmus albonanus,336993,171317,2
Orchesella cincta,132308,132310,2897
Orectochilus villosus,483641,119971,6
Ormyrus pomaceus,964650,244999,1
Orsodacne cerasi,176239,176274,259
Orthezia urticae,554438,49576,64
Orthometopon planum,544096,813910,105
Orussus abietinus,856314,204682,33
Osmylus fulvicephalus,520505,341889,252
Osphya bipunctata,176258,173723,90
Oxycarenus lavaterae,209661,453211,2745
Oxyopes heterophthalmus,326355,83843,559
Oxythyrea funesta,68328,48201,16909
Palaeococcus fuscipennis,522347,428253,10
Palloptera umbellatarum,497155,147033,64
Palomena prasina,62060,47742,24776
Panorpa communis,51699,51700,1851
Papilio machaon,56529,47223,19976
Parainocellia bicolor,494353,244083,33
Paraiteaphila italica,1498621,702386,2
Paraleptoneta spinimana,805004,85865,2
Paraleptophlebia submarginata,482038,81975,28
Parasitellus fucorum,566178,85394,15
Pauropus huxleyi,394658,245087,1
Pedicia rivosa,70401,70402,144
Pediculus humanus,321532,47438,128
Pelidnoptera nigripennis,326636,326637,4
Pelochares versicolor,1123175,176390,5
Peltis ferruginea,540980,1408672,191
Peltodytes caesus,624420,173193,13
Penicillidia conspicua,1205835,347845,2
Penthaleus major,297453,245222,67
