name,taxon_id,ancestry
Apseudellidae,996491,48460/1/47120/85493/473790/47187/774775/144114/83718/983429/83719
Apseudidae,195124,48460/1/47120/85493/473790/47187/774775/144114/83718/983429/83719
Apsilocephalidae,372950,48460/1/47120/372739/47158/184884/47822/48091/372865/354603
Apteropanorpidae,574676,48460/1/47120/372739/47158/184884/49369
Apterouridae,433053,48460/1/47120/144128/47735/551278/372763/997267/551280/50425/1205850/986473
Apystomyiidae,557997,48460/1/47120/372739/47158/184884/47822/48091/372865/354603
Aradidae,61254,48460/1/47120/372739/47158/184884/47744/61267/372868/61255
Araneidae,47535,48460/1/47120/245097/47119/47118/120474/342614/319384
Arborichthoniidae,982152,48460/1/47120/245097/47119/52788/129763/81508/332183/888610/245277
Arceremaeidae,982115,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/1227488/982110
Archaeidae,416710,48460/1/47120/245097/47119/47118/120474/342614/367189
Archaeobalanidae,47660,48460/1/47120/85493/473790/1091452/144117/210289/464038/1040842/49068/47661
Archaeobalanidae,1164957,48460/1/47120/85493/473790/1091452/144117/210289/464038/1040842/49068/47661
Archaeocynipidae,981232,48460/1/47120/372739/47158/184884/47201/124417/981280/55593
Archaeoniscidae,813927,48460/1/47120/85493/473790/47187/774775/144114/48147/343784
Archaeorchestidae,982147,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/1227488/568385
Archaeoscinidae,983227,48460/1/47120/85493/473790/47187/774775/144114/47628/372878/983396/983398/245455
Archembiidae,980894,48460/1/47120/372739/47158/184884/56834/1041771
Archeocrypticidae,311413,48460/1/47120/372739/47158/184884/47208/71130/372852/47593
Archeonothridae,982164,48460/1/47120/245097/47119/52788/129763/81508/332183/1227489/329380
Archescytinidae,548478,48460/1/47120/372739/47158/184884/47744
Archidactylinidae,480453,48460/1/47120/85493/473790/1091452/121643/774777/774779/153122
Archijassidae,346794,48460/1/47120/372739/47158/184884/47744/125816/372849/49025
Archinotodelphyidae,996614,48460/1/47120/85493/473790/1091452/121643/774777/774779/85514/1066594
Archipsocidae,245149,48460/1/47120/372739/47158/184884/83187/144300/714245
Archipteriidae,246198,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/1227488/858146
Archoleptonetidae,1228865,48460/1/47120/245097/47119/47118/120474/367158/367184
Archotermopsidae,857908,48460/1/47120/372739/47158/184884/81769/129743/118903
Arcitalitridae,1128399,48460/1/47120/85493/473790/47187/774775/144114/47628/869842/885300/885301/494273/1297361
Arctacaridae,982565,48460/1/47120/245097/47119/52788/129762/52790/907177/936184/1270561
Arctiidae,245655,48460/1/47120/372739/47158/184884/47157
Arctokonstantinidae,996611,48460/1/47120/85493/473790/1091452/121643/774777/774778/85507
Arctopsychidae,981169,48460/1/47120/372739/47158/184884/62164/372846/62165
Arcturidae,245446,48460/1/47120/85493/473790/47187/774775/144114/48147/343778
Arcturididae,813933,48460/1/47120/85493/473790/47187/774775/144114/48147/343778
Arenohydracaridae,245056,48460/1/47120/245097/47119/52788/129763/83740/490738/495534/495535
Arenopontiidae,332126,48460/1/47120/85493/473790/1091452/121643/774777/774779/85521
Argasidae,123675,48460/1/47120/245097/47119/52788/129762/51672
Argestidae,996622,48460/1/47120/85493/473790/1091452/121643/774777/774779/85521
Argidae,82227,48460/1/47120/372739/47158/184884/47201/84643/49452
Argiolestidae,550512,48460/1/47120/372739/47158/184884/47792/47928/1317181
Argissidae,983220,48460/1/47120/85493/473790/47187/774775/144114/47628/869872/983405/983416/983425
Argulidae,144120,48460/1/47120/85493/473792/473793/372778/144119/1066672
Argyresthiidae,85600,48460/1/47120/372739/47158/184884/47157/53552
Aribatidae,982111,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/1227488/568385
Arietellidae,330960,48460/1/47120/85493/473790/1091452/121643/774777/774778/85507
Aristeidae,245489,48460/1/47120/85493/473790/47187/774775/144113/47186/342910/51041
Aristiidae,245497,48460/1/47120/85493/473790/47187/774775/144114/47628/869872/983405/983415/983419
